id,Zconservrepub,scicomp_i,GWRISK,NUKERISK
1,0.3006105,0.3729,6,4
2,0.3006105,0.1964,0,5
3,0.51337514,-0.6303,1,4
4,0.04450736,0.888,3,3
5,1.2383461,1.4154,0,7
6,0.76947828,0.3864,1,4
7,0.55671364,0.8849,2,2
8,1.0255814,0.8721,5,4
9,0.3006105,-0.5741,6,6
10,0.81281678,-0.2605,6,6
11,0.72613978,-1.742,,
12,0.76947828,-0.1718,0,3
13,0.04450736,-0.6628,4,2
14,0.55671364,-0.9054,6,7
15,0.47003664,-0.8899,6,6
16,1.7505523,-1.2898,4,7
17,1.2383461,0.1754,4,5
18,0.76947828,0.8111,4,1
19,1.7505523,-0.0928,2,5
20,1.0255814,-1.0907,4,7
21,0.04450736,0.4001,5,5
22,0.04450736,2.074,3,2
23,0.76947828,1.2609,1,6
24,1.2816846,0.8548,2,1
25,1.7505523,-0.5615,0,7
26,0.2139335,-1.5233,4,4
27,0.55671364,0.7144,5,4
28,1.2816846,-0.4469,0,0
29,1.2383461,-0.6543,1,4
30,0.3006105,-1.1623,7,6
31,0.47003664,0.036,2,6
32,0.3006105,-0.2574,3,2
33,0.55671364,1.3021,4,3
34,1.2816846,0.3945,2,3
35,0.76947828,2.074,1,1
36,0.98224292,-0.0481,0,5
37,1.2383461,1.0605,0,1
38,1.0255814,-1.8515,4,6
39,1.7505523,-0.2702,2,7
40,1.0255814,-0.3946,4,5
41,0.2139335,-2.4604,1,4
42,0.3006105,-0.1944,3,4
43,1.2816846,0.6508,1,2
44,0.55671364,0.2458,5,4
45,1.0255814,-0.4722,2,1
46,0.76947828,0.2829,0,3
47,1.2816846,0.9476,1,2
48,0.3006105,2.074,3,1
49,1.7505523,-0.3229,1,4
50,1.7505523,-0.1023,4,2
51,0.3006105,-1.0876,4,5
52,0.51337514,-0.3853,4,5
53,0.76947828,-0.1513,1,1
54,1.7505523,-0.0123,3,1
55,1.7505523,-0.5547,1,1
56,0.04450736,-0.0079,2,4
57,0.76947828,1.4099,2,3
58,1.7505523,-0.9062,5,6
59,1.0255814,-0.4761,1,1
